method,encryption_time,entropy,correlation_h,correlation_v,correlation_d
Permutation Only,0.0014698505401611328,7.18767312361589,0.0019908654994493583,-0.006730059543051656,0.006643429917752453
XOR Diffusion Only,0.04691171646118164,7.996842007236086,0.0028509555661234746,-0.0025038883042859048,-0.0007759150868071123
Permutation + XOR,0.04817652702331543,7.997436594105614,-0.004279541787287188,0.005039175844628745,-0.002732633787173002
