image,original_entropy,encrypted_entropy,original_corr_h,original_corr_v,original_corr_d,encrypted_corr_h,encrypted_corr_v,encrypted_corr_d,histogram_chi_square,histogram_uniform,psnr,ssim,npcr,uaci,encryption_time,decryption_time
processed\sequences\6.2.21.png,7.318090975,7.997691949,0.95103686,0.905664746,0.861928202,0.000206066,0.000144161,0.001763264,208.5625,TRUE,inf,1,99.62310791,33.57330921,0.045481205,0.041538715
processed\sequences\motion10.512.png,6.275449443,7.997691522,0.982358469,0.947029889,0.937816163,-0.003330341,0.003593628,-0.002399843,209.6640625,TRUE,inf,1,99.66888428,33.43461579,0.044696808,0.043076038
processed\aerials\2.2.09.png,6.209246842,7.997663228,0.836464796,0.849240116,0.807899549,-0.000936755,-0.00430299,-1.49E-05,212.2109375,TRUE,inf,1,99.59259033,33.42205571,0.044956684,0.042548656
processed\aerials\2.2.22.png,6.254860831,7.997652977,0.885662473,0.880632772,0.845368946,0.002848505,-0.003101744,-0.002585626,214.78125,TRUE,inf,1,99.60021973,33.43414307,0.044855118,0.040939569
processed\textures\1.1.09.png,6.356874908,7.99761995,0.45231051,0.887946483,0.285169175,-0.002448629,-0.002710921,0.003256079,216.2578125,TRUE,inf,1,99.65362549,33.56155096,0.045761585,0.041992188
